id,date_contacted,city,state,dob,gender,employment,owns_car,owns_coffee_machine,owns_home,beverage_preference,number_of_bags_purchased_competitor,competitor_satisfaction,bought_coffee
1f3616520cc567f6,2019-09-16,Chicago,IL,07/04/1984,male,full-time,False,nope,False,bee,0,,False
bba909acb4ee09ad,2018-07-13,Wheaton,IL,"Sep 26, 83",female,retired,True,YES,False,wine,12,4.5,False
41bbc4397911869c,2018-06-26,Glen Ellyn,IL,November 06 1980,male,full-time,True,no,True,coffee,10,0.0,False
acde7a45c3c8fbed,2018-05-03,Hoffman Estates,IL,"Jan 22, 74",female,part-time,True,yes,False,coffee,1,2.0,False
e24da06a896d1cc6,2019-08-05,St. Charles,IL,January 31 1988,female,unemployed,True,I don't know,False,coffee,10,3.0,False
4ef72108e46d87fa,2019-12-20,Glen Ellyn,IL,"Jun 25, 85",male,full-time,True,yes,True,coffee,1,3.5,False
66250f15b94dc9b7,2019-05-20,Glen Ellyn,IL,10-23-1991,female,student,True,YES,False,wine,5,1.0,False
750e82dae53d6d69,2018-03-11,Chicago,IL,06.17.83,female,unemployed,False,I don't know,False,coffee,12,1.0,False
97c27bca0ecb523d,2018-05-08,Glen Ellyn,IL,06.06.1980,male,full-time,True,y,False,wine,0,,False
7683dd01c357509a,2018-08-13,Minooka,IL,Feb 20 71,female,full-time,True,no,True,water,11,2.0,False
750ee708aeb8234f,2018-09-09,Hoffman Estates,IL,"06 09, 1984",male,unemployed,True,YES,False,coffee,11,2.5,False
64d5c9e2c6814a1c,2018-04-06,Inverness,IL,"07 08, 1979",female,part-time,True,I don't know,False,wine,3,3.0,False
13cc5042f196d3c8,2018-05-06,Schaumburg,IL,September 06 1978,female,full-time,True,YES,True,coffee,3,2.0,False
c26819c225aa22de,2019-06-13,Algonquin,IL,"03 08, 84",male,part-time,True,yup,True,coffee,3,5.0,False
c9817d65d2cc149d,2019-01-29,Warrenville,IL,10/25/85,female,unemployed,True,yes,False,tea,6,2.0,False
60f269a821fadaa9,2018-03-21,Schaumburg,IL,"Dec 15, 1972",female,full-time,True,y,True,coffee,0,,False
64353db84ea6e2e1,2019-03-31,Chicago,IL,08.29.93,male,unemployed,False,No,False,coffee,9,0.0,False
ba49a57c25ff0333,2018-10-21,Batavia,IL,1978-03-26,male,unemployed,True,no,True,coffee,10,3.5,False
abc635663dd7f93a,2019-08-25,Chicago,IL,"02 16, 1992",female,full-time,False,Yes,False,wine,8,4.5,False
c194b16203f28f48,2019-07-15,Aurora,IL,March 08 86,female,unemployed,True,Yes,False,coffee,8,5.0,False
1c38711a4a5bfb4e,2018-01-21,Schaumburg,IL,Dec 02 1983,female,full-time,True,yup,True,coffee,6,4.0,False
2724919f09ca8801,2019-10-09,Streamwood,IL,06/08/91,male,studen,True,No,False,beer,1,2.5,False
5bd708a811be8f8f,2018-11-26,Warrenville,IL,"Aug 09, 83",female,full-time,True,nope,False,coffee,0,,True
c2030620dd61eb34,2018-04-15,Oswego,IL,01-06-1974,male,part-time,True,dunno,True,beer,2,5.0,False
ea4d04d4f78a0c4c,2018-09-06,Minooka,IL,October 01 1978,male,full-time,True,YES,True,soda,10,1.5,False
5b11f5f9f2ee5768,2018-04-16,Palatine,IL,"05 13, 78",female,part-time,True,y,False,wine,8,2.5,False
f312cdf585a96909,2018-07-26,Romeoville,IL,July 16 78,male,part-time,True,y,True,coffee,5,1.5,False
e1a3009f5d301fd5,2019-08-05,Inverness,IL,08.18.90,male,retired,True,nah,False,coffee,0,,False
1e8ac7c8d0cfcc85,2018-12-01,Warrenville,IL,"Jun 15, 74",female,student,True,no,True,wine,5,1.5,False
1ac708ae93be0ef5,2018-12-22,Hoffman Estates,IL,09-23-1971,male,full-time,True,YES,True,coffee,6,3.5,False
