,city,state,gender,employment,owns_coffee_machine,owns_car,month,year,year_dob,beverage_preference,bought_coffee
0,Chicago,IL,male,full-time,no,False,9,2019,1984,beer,False
1,Wheaton,IL,female,retired,yes,True,7,2018,1983,wine,False
2,Glen Ellyn,IL,male,full-time,no,True,6,2018,1980,coffee,False
3,Hoffman Estates,IL,female,part-time,yes,True,5,2018,1974,coffee,False
4,St. Charles,IL,female,unempolyed,i don't know,True,8,2019,1988,coffee,False
5,Glen Ellyn,IL,male,full-time,yes,True,12,2019,1985,coffee,False
6,Glen Ellyn,IL,female,student,yes,True,5,2019,1991,wine,False
7,Chicago,IL,female,unempolyed,i don't know,False,3,2018,1983,coffee,False
8,Glen Ellyn,IL,male,full-time,yes,True,5,2018,1980,wine,False
9,Minooka,IL,female,full-time,no,True,8,2018,1971,tea,False
10,Hoffman Estates,IL,male,unempolyed,yes,True,9,2018,1984,coffee,False
11,Inverness,IL,female,part-time,i don't know,True,4,2018,1979,wine,False
12,Schaumburg,IL,female,full-time,yes,True,5,2018,1978,coffee,False
13,Algonquin,IL,male,part-time,yes,True,6,2019,1984,coffee,False
14,Warrenville,IL,female,unempolyed,yes,True,1,2019,1985,tea,False
15,Schaumburg,IL,female,full-time,yes,True,3,2018,1972,coffee,False
16,Chicago,IL,male,unempolyed,no,False,3,2019,1993,coffee,False
17,Batavia,IL,male,unempolyed,no,True,10,2018,1978,coffee,False
18,Chicago,IL,female,full-time,yes,False,8,2019,1992,wine,False
19,Aurora,IL,female,unempolyed,yes,True,7,2019,1986,coffee,False
20,Schaumburg,IL,female,full-time,yes,True,1,2018,1983,coffee,False
21,Streamwood,IL,male,student,no,True,10,2019,1991,beer,False
22,Warrenville,IL,female,full-time,no,True,11,2018,1983,coffee,True
23,Oswego,IL,male,part-time,i don't know,True,4,2018,1974,beer,False
24,Minooka,IL,male,full-time,yes,True,9,2018,1978,soda,False
25,Palatine,IL,female,part-time,yes,True,4,2018,1978,wine,False
26,Romeoville,IL,male,part-time,yes,True,7,2018,1978,coffee,False
27,Inverness,IL,male,retired,no,True,8,2019,1990,coffee,False
29,Hoffman Estates,IL,male,full-time,yes,True,12,2018,1971,coffee,False
30,Minooka,IL,female,part-time,yes,True,10,2018,1978,coffee,False
31,Schaumburg,IL,male,unempolyed,yes,True,1,2018,1972,coffee,False
32,Wheaton,IL,female,full-time,yes,True,5,2018,1979,coffee,False
33,Chicago,IL,male,full-time,no,True,5,2019,1991,coffee,False
34,Romeoville,IL,female,part-time,yes,True,4,2018,1978,coffee,False
35,Elgin,IL,female,retired,yes,True,4,2018,1981,tea,False
36,Mokena,IL,female,student,yes,True,9,2018,1985,tea,False
37,Romeoville,IL,female,part-time,yes,True,7,2018,1979,coffee,False
38,Plainfield,IL,female,unempolyed,yes,True,4,2018,1969,tea,False
39,Minooka,IL,male,full-time,no,True,3,2018,1969,soda,False
40,Plainfield,IL,male,full-time,yes,True,4,2019,1985,tea,False
41,Carol Stream,IL,female,unempolyed,yes,True,9,2019,1988,coffee,False
42,Warrenville,IL,male,student,yes,True,1,2019,1990,coffee,False
43,Bolingbrook,IL,female,student,no,True,12,2019,1990,coffee,True
44,Streamwood,IL,female,unempolyed,yes,True,12,2019,1984,coffee,False
45,Willowbrook,IL,female,unempolyed,yes,True,12,2018,1982,coffee,False
46,Willowbrook,IL,female,full-time,yes,True,6,2019,1992,wine,False
47,St. Charles,IL,male,full-time,yes,True,4,2019,1982,beer,False
48,Barrington,IL,male,full-time,yes,True,10,2018,1983,coffee,False
49,Palatine,IL,male,full-time,yes,True,5,2018,1970,soda,False
50,St. Charles,IL,male,unempolyed,no,False,8,2019,1990,coffee,False
51,Warrenville,IL,female,retired,yes,True,5,2018,1978,wine,False
52,Romeoville,IL,female,unempolyed,yes,True,7,2018,1979,coffee,False
53,Schaumburg,IL,female,student,yes,True,9,2019,1980,coffee,False
54,Bolingbrook,IL,male,part-time,yes,True,12,2018,1974,coffee,False
55,Minooka,IL,male,full-time,i don't know,True,12,2018,1987,coffee,False
56,Batavia,IL,female,student,no,True,10,2019,1988,tea,False
